"","DENINumber","InstitutionName","NoOfChildrenInFundedPlaces","TotalPupils","FullTimePupils","PartTimePupils","NurseryPupils","ReceptionPupils","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12","Year13","Year14","NoOfBoys","NoOfGirls","AddressLine1","AddressLine2","AddressLine3","Town","County","Postcode","Telephone","Management","InstitutionType","Status","DateClosed","Email","DENINumberHyphen"
"393","2116023","The Academy Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76 ACADEMY ROAD","ROSEMOUNT",NA,"LONDONDERRY","LONDONDERRY","BT48 7LE","028 7126 5520","Controlled","Nursery","Open",NA,"info@academyns.derry.ni.sch.uk","211-6023"
"394","2116232","Strathfoyle Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLONMEEN DRIVE","STRATHFOYLE",NA,"LONDONDERRY","LONDONDERRY","BT47 6UP","028 7186 0322","Controlled","Nursery","Open",NA,"info@strathfoylens.derry.ni.sch.uk","211-6232"
"395","2116233","Lisnagelvin Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48 RICHILL PARK",NA,NA,"LONDONDERRY","LONDONDERRY","BT47 5QZ","028 7134 2764","Controlled","Nursery","Open",NA,"info@lisnagelvinns.londonderry.ni.sch.uk","211-6233"
"396","2116265","Omagh North Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64A OLD MOUNTFIELD ROAD",NA,NA,"OMAGH","TYRONE","BT79 7EG","028 8224 6431","Controlled","Nursery","Open",NA,"info@omaghnorthns.omagh.ni.sch.uk","211-6265"
"397","2116266","Bligh's Lane Nursery School",NA,54,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 BLIGH'S LANE",NA,NA,"LONDONDERRY","LONDONDERRY","BT48 9PJ","028 7126 7603","Controlled","Nursery","Open",NA,"info@blighslanens.derry.ni.sch.uk","211-6266"
"398","2116267","Carnhill Nursery School",NA,54,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 VILLAGE LANE,GLENGALLIAGH ROAD",NA,NA,"LONDONDERRY","LONDONDERRY","BT48 8DU","028 7135 3013","Controlled","Nursery","Open",NA,"info@carnhillns.derry.ni.sch.uk","211-6267"
"399","2116336","Galliagh Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 HEATHER ROAD","GALLIAGH",NA,"LONDONDERRY","LONDONDERRY","BT48 8NX","028 7135 3612","Controlled","Nursery","Open",NA,"info@galliaghns.derry.ni.sch.uk","211-6336"
"400","2116345","Belmont Nursery School",NA,80,28,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19B RACECOURSE ROAD",NA,NA,"LONDONDERRY","LONDONDERRY","BT48 8NF","028 7126 6241","Controlled","Nursery","Open",NA,"info@belmontnurseryschool.co.uk","211-6345"
"401","2116348","Trench Road Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRENCH ROAD","WATERSIDE",NA,"LONDONDERRY","LONDONDERRY","BT47 2DT","028 7134 6110","Controlled","Nursery","Open",NA,"info@trenchroadns.derry.ni.sch.uk","211-6348"
"402","2116608","Enniskillen Nursery",NA,79,27,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29B DUBLIN ROAD",NA,NA,"ENNISKILLEN","FERMANAGH","BT74 6HH","028 6634 2694","Controlled","Nursery","Open",NA,"info@enniskillenns.enniskillen.ni.sch.uk","211-6608"
"403","2116628","Limavady Nursery School",NA,77,25,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9A GREYSTONE ROAD",NA,NA,"LIMAVADY","LONDONDERRY","BT49 0ND","028 7772 9747","Controlled","Nursery","Open",NA,"info@limavadyns.limavady.ni.sch.uk","211-6628"
"404","3110037","Ballymena Nursery School",NA,104,0,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TROSTAN AVENUE","THE DEMESNE",NA,"BALLYMENA","ANTRIM","BT43 7BL","028 2565 2011","Controlled","Nursery","Open",NA,"info@ballymenans.ballymena.ni.sch.uk","311-0037"
"405","3116034","Ballymoney Nursery School",NA,104,0,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH ROAD",NA,NA,"BALLYMONEY","ANTRIM","BT53 6BW","028 2766 4367","Controlled","Nursery","Open",NA,"info@ballymoneyns.ballymoney.ni.sch.uk","311-6034"
"406","3116150","Sunnylands Nursery School",NA,104,0,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUNNYLANDS AVENUE",NA,NA,"CARRICKFERGUS","ANTRIM","BT38 8JJ","028 9336 5739","Controlled","Nursery","Open",NA,"info@sunnylandsns.carrickfergus.ni.sch.uk","311-6150"
"407","3116162","Mossley Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2A HAZELBURN ROAD","MOSSLEY",NA,"NEWTOWNABBEY","ANTRIM","BT36 5NA","028 9083 5549","Controlled","Nursery","Open",NA,"info@mossleyns.newtownabbey.ni.sch.uk","311-6162"
"408","3116165","Dunclug Nursery School",NA,80,28,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"95 DOURY ROAD","DUNCLUG",NA,"BALLYMENA","ANTRIM","BT43 6SU","028 2564 4286","Controlled","Nursery","Open",NA,"info@dunclugns.ballymena.ni.sch.uk","311-6165"
"409","3116166","Ballyhenry Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLENVARNA COURT",NA,NA,"NEWTOWNABBEY","ANTRIM","BT36 5JD","028 9083 3884","Controlled","Nursery","Open",NA,"info@ballyhenryns.glengormley.ni.sch.uk","311-6166"
"410","3116167","Steeple Nursery School",NA,156,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEEPLE ROAD",NA,NA,"ANTRIM","ANTRIM","BT41 1AF","028 9446 4151","Controlled","Nursery","Open",NA,"info@steeplens.antrim.ni.sch.uk","311-6167"
"411","3116177","Magherafelt Nursery School",NA,131,27,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32A Castledawson Road",NA,NA,"MAGHERAFELT","LONDONDERRY","BT45 6PA","028 7963 2981","Controlled","Nursery","Open",NA,"info@magherafeltns.magherafelt.ni.sch.uk","311-6177"
"412","3116214","Ashgrove Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57 ASHGROVE ROAD","CARNMONEY",NA,"NEWTOWNABBEY","ANTRIM","BT36 6LJ","028 9084 3178","Controlled","Nursery","Open",NA,"info@ashgrovens.carnmoney.ni.sch.uk","311-6214"
"413","3116215","Kylemore Nursery School",NA,103,0,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYLEMORE ROAD",NA,NA,"COLERAINE","LONDONDERRY","BT51 3HG","028 7034 4893","Controlled","Nursery","Open",NA,"info@kylemorens.coleraine.ni.sch.uk","311-6215"
"414","3116219","Monkstown Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JENNINGS PARK",NA,NA,"NEWTOWNABBEY","ANTRIM","BT37 0NB","028 9086 1459","Controlled","Nursery","Open",NA,"info@monkstownns.monkstown.ni.sch.uk","311-6219"
"415","3116220","Ballyclare Nursery School",NA,156,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRANGE DRIVE",NA,NA,"BALLYCLARE","ANTRIM","BT39 9EY","028 9335 2982","Controlled","Nursery","Open",NA,"info@ballyclarens.ballyclare.ni.sch.uk","311-6220"
"416","3116263","Ballysally Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BALLYSALLY LANE","BALLYSALLY ESTATE",NA,"COLERAINE","LONDONDERRY","BT52 2QA","028 7035 4787","Controlled","Nursery","Open",NA,"info@ballysallyns.coleraine.ni.sch.uk","311-6263"
"417","3136183","St Joseph's Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52 GREYSTONE ROAD",NA,NA,"ANTRIM","ANTRIM","BT41 1JZ","028 9446 2437","Roman Catholic Maintained","Nursery","Open",NA,"info@stjosephsns.antrim.ni.sch.uk","313-6183"
"418","3136332","St Anthony's Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43 FAIRWAY","ANTIVILLE, CRAIGYHILL",NA,"LARNE","ANTRIM","BT40 2BG","028 2827 8645","Roman Catholic Maintained","Nursery","Open",NA,"info@stanthonysns.larne.ni.sch.uk","313-6332"
"419","4110029","Bangor Central Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 Castle Park Road",NA,NA,"BANGOR","DOWN","BT20 4TF","028 9146 9241","Controlled","Nursery","Open",NA,"info@bangorns.bangor.ni.sch.uk","411-0029"
"420","4110030","Holywood Nursery School",NA,78,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66 CHURCH ROAD",NA,NA,"HOLYWOOD","DOWN","BT18 9BU","028 9042 5012","Controlled","Nursery","Open",NA,"info@holywoodns.holywood.ni.sch.uk","411-0030"
"421","4110035","Newtownards Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2F PORTAFERRY ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 8NN","028 9181 5098","Controlled","Nursery","Open",NA,"info@newtownardsns.newtownards.ni.sch.uk","411-0035"
"422","4116018","Barbour Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73 ASHMOUNT GARDENS",NA,NA,"LISBURN","ANTRIM","BT27 5BZ","028 9260 1796","Controlled","Nursery","Open",NA,"info@barbourns.lisburn.ni.sch.uk","411-6018"
"423","4116175","Trinity Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRUNSWICK ROAD",NA,NA,"BANGOR","DOWN","BT20 3DW","028 9127 0355","Controlled","Nursery","Open",NA,"info@trinitynurseryschool.co.uk","411-6175"
"424","4116176","Downpatrick Nursery School",NA,29,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5-7 MOUNT CRESCENT",NA,NA,"DOWNPATRICK","DOWN","BT30 6AF","028 4461 3007","Controlled","Nursery","Open",NA,"info@downpatrickns.downpatrick.ni.sch.uk","411-6176"
"425","4116216","King's Road Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MELFORT DRIVE KINGS ROAD","KNOCK",NA,"BELFAST","ANTRIM","BT5 7FD","028 9048 3991","Controlled","Nursery","Open",NA,"info@kingsroadns.belfast.ni.sch.uk","411-6216"
"426","4116239","Knockbreda Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WYNCHURCH ROAD","KNOCKBREDA",NA,"BELFAST","ANTRIM","BT6 0JJ","028 9040 1567","Controlled","Nursery","Open",NA,"info@knockbredans.belfast.ni.sch.uk","411-6239"
"427","4116240","Castlereagh Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135 CLONDUFF DRIVE",NA,NA,"BELFAST","ANTRIM","BT6 9NR","028 9070 4539","Controlled","Nursery","Open",NA,"info@castlereaghns.belfast.ni.sch.uk","411-6240"
"428","4116307","Glenbrook Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33 GLENARD ROAD",NA,NA,"NEWTOWNARDS","DOWN","BT23 4HS","028 9181 9629","Controlled","Nursery","Open",NA,"info@glenbrookns.newtownards.ni.sch.uk","411-6307"
"429","4116418","Pond Park Nursery School",NA,78,26,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 REDPOLL AVENUE",NA,NA,"LISBURN","ANTRIM","BT28 3PW","028 9267 1516","Controlled","Nursery","Open",NA,"info@pondparkns.lisburn.ni.sch.uk","411-6418"
"430","4136211","St Colmcille's Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30 KILLOUGH ROAD",NA,NA,"DOWNPATRICK","DOWN","BT30 6PX","028 4461 5173","Roman Catholic Maintained","Nursery","Open",NA,"info@stcolmcillesns.downpatrick.ni.sch.uk","413-6211"
"431","4136212","Convent of Mercy Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOLLY LANE",NA,NA,"DOWNPATRICK","DOWN","BT30 6NF","028 4461 4682","Roman Catholic Maintained","Nursery","Open",NA,"info@conventofmercyns.downpatrick.ni.sch.uk","413-6212"
"432","4136286","Good Shepherd Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 GOOD SHEPHERD ROAD","POLEGLASS, DUNMURRY",NA,"BELFAST","ANTRIM","BT17 0PL","028 9030 1684","Roman Catholic Maintained","Nursery","Open",NA,"info@goodshepherdns.belfast.ni.sch.uk","413-6286"
"433","4136317","Holy Trinity Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 TRINITY TERRACE","LONGSTONE STREET",NA,"LISBURN","ANTRIM","BT28 1DG","028 9267 2080","Roman Catholic Maintained","Nursery","Open",NA,"info@holytrinityns.lisburn.ni.sch.uk","413-6317"
"434","4136368","St Luke's Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLASVEY DRIVE","TWINBROOK, DUNMURRY",NA,"BELFAST","ANTRIM","BT17 0DB","028 9043 1047","Roman Catholic Maintained","Nursery","Open",NA,"info@stlukesns.belfast.ni.sch.uk","413-6368"
"435","4136481","St Kieran's Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BELL STEEL ROAD","POLEGLASS, DUNMURRY",NA,"BELFAST","ANTRIM","BT17 0PB","028 9060 1293","Roman Catholic Maintained","Nursery","Open",NA,"info@stkieransns.belfast.ni.sch.uk","413-6481"
"436","4136606","St Therese Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARDCAOIN AVENUE",NA,NA,"BELFAST","ANTRIM","BT17 0UN","028 9061 5556","Roman Catholic Maintained","Nursery","Open",NA,"info@sttheresens.belfast.ni.sch.uk","413-6606"
"437","4136626","Kircubbin Community Nursery School",NA,52,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 Church Grove","Kircubbin",NA,"NEWTOWNARDS","DOWN","BT22 2SU","028 4273 9307","Roman Catholic Maintained","Nursery","Open",NA,"info@kircubbinns.kircubbin.ni.sch.uk","413-6626"
"438","5110017","Railway Street Nursery School",NA,27,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAILWAY STREET",NA,NA,"ARMAGH","ARMAGH","BT61 7HP","028 3752 3472","Controlled","Nursery","Open",NA,"info@armaghns.armagh.ni.sch.uk","511-0017"
"439","5110021","Edenderry Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRINCESS WAY",NA,NA,"PORTADOWN","ARMAGH","BT63 5EP","028 3833 6973","Controlled","Nursery","Open",NA,"info@edenderryns.portadown.ni.sch.uk","511-0021"
"440","5116112","Ashgrove Nursery School",NA,54,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23 CHESTNUT GROVE",NA,NA,"NEWRY","DOWN","BT34 1JT","028 3026 3355","Controlled","Nursery","Open",NA,"info@ashgrovens.newry.ni.sch.uk","511-6112"
"441","5116189","Millington Nursery School",NA,78,78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRAIGAVON AVENUE","MILLINGTON",NA,"PORTADOWN","ARMAGH","BT62 3HQ","028 3835 4717","Controlled","Nursery","Open",NA,"info@millingtonns.portadown.ni.sch.uk","511-6189"
"442","5116190","Harrison Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOWER TOBERHEWNEY LANE",NA,NA,"LURGAN","ARMAGH","BT66 8SU","028 3832 2841","Controlled","Nursery","Open",NA,"info@harrisonns.lurgan.ni.sch.uk","511-6190"
"443","5116197","Kilkeel Nursery School",NA,82,29,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"124 HARBOUR ROAD","KILKEEL",NA,"NEWRY","DOWN","BT34 4AT","028 4176 3109","Controlled","Nursery","Open",NA,"info@kilkeelns.kilkeel.ni.sch.uk","511-6197"
"444","5116198","Fivemiletown Nursery School",NA,26,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"166A BALLAGH ROAD",NA,NA,"FIVEMILETOWN","TYRONE","BT75 0QP","028 8952 1530","Controlled","Nursery","Open",NA,"info@fmtns.fivemiletown.ni.sch.uk","511-6198"
"445","5116223","The Grove Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23B BALLINAHONE AVENUE",NA,NA,"ARMAGH","ARMAGH","BT60 1EE","028 3752 4644","Controlled","Nursery","Open",NA,"info@thegrovens.armagh.ni.sch.uk","511-6223"
"446","5116236","Dungannon Nursery School",NA,51,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29 CIRCULAR ROAD",NA,NA,"DUNGANNON","TYRONE","BT71 6BE","028 8772 2689","Controlled","Nursery","Open",NA,"info@dungannonns.dungannon.ni.sch.uk","511-6236"
"447","5116237","Cookstown Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOLNAFRANKY ESTATE",NA,NA,"COOKSTOWN","TYRONE","BT80 8PF","028 8676 4451","Controlled","Nursery","Open",NA,"info@cookstownns.cookstown.ni.sch.uk","511-6237"
"448","5116238","Banbridge Nursery School",NA,54,54,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3A LURGAN ROAD",NA,NA,"BANBRIDGE","DOWN","BT32 4AF","028 4062 3138","Controlled","Nursery","Open",NA,"info@banbridgens.banbridge.ni.sch.uk","511-6238"
"449","5116256","Downshire Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRIMROSE GARDENS",NA,NA,"BANBRIDGE","DOWN","BT32 3EN","028 4062 5195","Controlled","Nursery","Open",NA,"info@downshirens.banbridge.ni.sch.uk","511-6256"
"450","5116625","Dromore Nursery School",NA,79,27,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18A BANBRIDGE ROAD",NA,NA,"DROMORE","DOWN","BT25 1NB","028 92699732","Controlled","Nursery","Open",NA,"info@dromorens.dromore.ni.sch.uk","511-6625"
"451","5116640","Tandragee Nursery School",NA,79,27,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24B MADDEN ROAD",NA,NA,"TANDRAGEE","ARMAGH","BT62 2DJ","028 3884 2127","Controlled","Nursery","Open",NA,"info@tandrageens.tandragee.ni.sch.uk","511-6640"
"452","5136217","St John the Baptist Nursery",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GARVAGHY ROAD","PORTADOWN",NA,"CRAIGAVON","ARMAGH","BT62 1EB","028 3833 9283","Roman Catholic Maintained","Nursery","Open",NA,"info@stjohnthebaptistns.portadown.ni.sch.uk","513-6217"
"453","5136342","St Malachy's Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 MARTIN'S LANE","CARNAGAT",NA,"NEWRY","DOWN","BT35 8PJ","028 3026 8536","Roman Catholic Maintained","Nursery","Open",NA,"info@stmalachysns.newry.ni.sch.uk","513-6342"
"454","5136607","College Farm Nursery School",NA,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOWER DESART LANE",NA,NA,"ARMAGH","ARMAGH","BT61 8AN","028 3751 8276","Roman Catholic Maintained","Nursery","Open",NA,"info@collegefarmns.armagh.ni.sch.uk","513-6607"
"455","5136627","Little Flower Nursery School",NA,52,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 COOLE ROAD","KILLEN",NA,"COALISLAND","TYRONE","BT71 5DR","028 8774 7316","Roman Catholic Maintained","Nursery","Open",NA,"info@littleflowerns.dungannon.ni.sch.uk","513-6627"
"456","5136629","Seaview Nursery School",NA,78,78,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61 GT. GEORGE'S ST",NA,NA,"WARRENPOINT","DOWN","BT34 3NF","028 4175 3224","Roman Catholic Maintained","Nursery","Open",NA,"info@seaviewns.warrenpoint.ni.sch.uk","513-6629"
"457","5136631","Drumnamoe Nursery School",NA,105,53,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58 LEVIN ROAD",NA,NA,"LURGAN","ARMAGH","BT67 9EU","028 38329384","Roman Catholic Maintained","Nursery","Open",NA,"info@drumnamoens.craigavon.ni.sch.uk","513-6631"
"458","1010012","Belmont Primary School",NA,252,NA,NA,0,0,84,85,83,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"215 BELMONT ROAD",NA,NA,"BELFAST","ANTRIM","BT4  2AG","028 9047 1539","Controlled","Primary","Open",NA,"info@belmont.belfast.ni.sch.uk","101-0012"
"459","1010063","Currie Primary School",NA,219,NA,NA,26,0,27,30,26,24,28,31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111-113 LIMESTONE ROAD",NA,NA,"BELFAST","ANTRIM","BT15 3AB","028 9074 7982","Controlled","Primary","Open",NA,"info@currie.belfast.ni.sch.uk","101-0063"
"460","1010146","Euston Street Primary School",NA,358,NA,NA,52,0,37,49,39,41,48,57,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"163 EUSTON STREET",NA,NA,"BELFAST","ANTRIM","BT6  9AG","028 9045 7089","Controlled","Primary","Open",NA,"info@eustonstreet.belfast.ni.sch.uk","101-0146"
"461","1010157","Rosetta Primary School",NA,311,NA,NA,30,0,36,36,43,36,39,54,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21-23 KNOCKBREDA ROAD",NA,NA,"BELFAST","ANTRIM","BT6 0JA","028 9049 1650","Controlled","Primary","Open",NA,"info@rosetta.belfast.ni.sch.uk","101-0157"
"462","1010205","Forth River Primary School",NA,213,NA,NA,0,0,30,30,31,30,30,31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100 CAIRNMARTIN ROAD",NA,NA,"BELFAST","ANTRIM","BT13 3PQ","028 9071 4890","Controlled","Primary","Open",NA,"info@forthriver.belfast.ni.sch.uk","101-0205"
"463","1010221","Springfield Primary School",NA,176,NA,NA,0,0,24,25,28,25,25,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"425 SPRINGFIELD ROAD",NA,NA,"BELFAST","ANTRIM","BT12 7DJ","028 9032 0366","Controlled","Primary","Open",NA,"info@springfield.belfast.ni.sch.uk","101-0221"
"464","1010232","Harding Memorial Primary School",NA,219,NA,NA,0,0,28,29,30,34,33,33,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"105 - 107 CREGAGH ROAD",NA,NA,"BELFAST","ANTRIM","BT6  8PZ","028 9045 8040","Controlled","Primary","Open",NA,"info@hardingmemorial.belfast.ni.sch.uk","101-0232"
"465","1010252","Strandtown Primary School",NA,965,NA,NA,0,0,0,0,0,241,239,249,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH ROAD",NA,NA,"BELFAST","ANTRIM","BT4 3DJ","028 9067 4500","Controlled","Primary","Open",NA,"info@strandtown.belfast.ni.sch.uk","101-0252"
"466","1010255","Elmgrove Primary School",NA,618,NA,NA,52,0,64,69,83,87,84,92,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"289 BEERSBRIDGE ROAD",NA,NA,"BELFAST","ANTRIM","BT5 4RS","028 9045 7311","Controlled","Primary","Open",NA,"info@elmgrove.belfast.ni.sch.uk","101-0255"
"467","1010266","Seaview Primary School",NA,470,NA,NA,52,0,63,56,59,60,61,56,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEAVIEW DRIVE",NA,NA,"BELFAST","ANTRIM","BT15 3NB","028 9037 0114","Controlled","Primary","Open",NA,"info@seaview.belfast.ni.sch.uk","101-0266"
"468","1010267","Nettlefield Primary School",NA,391,NA,NA,51,0,49,51,48,48,48,53,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RADNOR STREET",NA,NA,"BELFAST","ANTRIM","BT6 8BG","028 9045 8237","Controlled","Primary","Open",NA,"info@nettlefield.belfast.ni.sch.uk","101-0267"
